BCL6-HDAC4 complex;BCL6,HDAC4
Sarcoglycan-sarcospan complex SG-SPN;SGCG,SSPN,SGCB,SGCA,SGCD
Sarcoglycan-sarcospan-dystroglycan complex;Sgcd,Sgcg,Sgcb,Sgca,Sspn,Dag1
Sarcoglycan-sarcospan-complex SG-SPN;Sgcd,Sgcg,Sgcb,Sgca,Sspn
Sarcoglycan-sarcospan-syntrophin-dystrobrevin complex;Sgcd,Sgcg,Sgcb,Sgca,Snta1,Sspn,Sntb1,Dtna
DNA ligase IV-XRCC4-PNK complex;LIG4,XRCC4,PNKP
Spliceosome;IGF2BP3,DDX3X,TCERG1,U2SURP,PPM1G,DHX15,PRPF4,SART1,PRPF3,PPIH,PLRG1,ZNF207,HTATSF1,NUDT21,DHX16,AQR,CDC40,PRPF40A,SF3B1,SNRNP200,BCAS2,DNAJC8,SMNDC1,PRPF6,LUC7L3,SLU7,CD2BP2,SYF2,SNRPB2,SNRNP70,SNRPA,SNRPC,SNRPA1,PABPC1,SNRPB,DDX5,U2AF2,EIF4A3,BUD31,MTREX,RBM25,NCBP2,MFAP1,SNU13,MAGOH,SNRPE,SNRPF,SNRPG,LSM3,LSM6,SNRPD1,SNRPD2,SNRPD3,TRA2B,TXNL4A,SRSF3,U2AF1,SRSF2,SRSF11,SRSF1,SRSF4,DHX9,NCBP1,SF3A3,IK,SRSF9,SRSF5,SRSF6,PPIL2,SF3B2,PRPF4B,SNW1,THOC5,DDX39B,CIRBP,RBM39,DHX8,WTAP,EFTUD2,RNPS1,SF3B3,SF3B4,SF3A2,SF3A1,SF1,SRSF7,CPSF6,SMU1,FNBP3,USP39,KIAA1429,THOC7,PRPF8,DDX46,ALYREF,THOC6,SRRM1,THOC2,CACTIN,SNRNP27,PRPF31,CTNNBL1,DHX38,DDX17,PPWD1,DGCR14,SNRNP40,THOC1,RBM17,THOC3,RBM15,SPEN,CDC5L,PRPF18,C19orf43,BUD13,DDX23,SRRT,CRNKL1,PPIL3,MOV10,CWC22,XAB2,RBM22,CDK12,CWC15,TFIP11,PUF60,DDX41,LSM7,ACIN1,ISY1,PRPF19,PPIE,SRRM2,WBP11,LSM2,SF3B6,PPIL1,LSM4,PAXBP1,RBM8A,CFAP20
DNA ligase IV-condensin complex;SMC2,LIG4,SMC4
DNA ligase IV-Xrcc4-DNA-protein kinase complex;Prkdc,Lig4,Xrcc4
DNA ligase IV-XRCC4-XLF complex;LIG4,XRCC4,NHEJ1
Artemis-DNA-PK complex;PRKDC,DCLRE1C
DNA ligase III-XRCC1-PNK-DNA-pol III multiprotein complex;POLB,XRCC1,LIG3,PNKP
RC-1 complex (recombination complex 1);Pole2,SMC1A,Lig3,Smc2,Pole
Rag1-Rag2 protein-DNA complex;Rag1,Rag2
Rag1-Rag2-Ku70-Ku80 protein-DNA complex;Rag1,Rag2,Xrcc6,Xrcc5,Hmgb1
ERCC1-ERCC4-MSH2 complex;ERCC1,MSH2,ERCC4
MSH2-MSH6-PMS2-MLH1 complex;MLH1,MSH2,MSH6,PMS2
MSH2-MSH6-PMS1-MLH1 complex;MLH1,MSH2,MSH6,PMS1
Structure-specific endonulease complex;ERCC1,ERCC4
F0F1 ATP synthase, mitochondrial;Atp5j2,Mt-atp6,Atp5b,Mt-atp8,Atp5a1,Atp5f1,Atp5j,Atp5e,Atp5i,Atp5h,Atp5d,Atp5c1,Atpif1,Atp5g1,Atp5l
Vacuolar ATPase;ATP6V1H,ATP6V1E1,ATP6V1C1,ATP6V0C,ATP6V1A,ATP6V1B2,ATP6V1D,ATP6V0D1,ATP6V1G1,ATP6V1F,ATP6V0A1
MSH2-MSH6 complex;MSH2,MSH6
MSH2-MSH3 complex;MSH3,MSH2
PCNA-MutS-alpha-MutL-alpha-DNA complex;PCNA,MLH1,MSH2,MSH6,PMS2
MutL-beta complex;MLH1,PMS1
Respiratory chain complex I, mitochondrial;NDUFA12,MT-ND1,MT-ND2,MT-ND3,MT-ND4L,MT-ND4,MT-ND5,MT-ND6,NDUFV2,NDUFS1,NDUFS2,NDUFS3,NDUFS6,NDUFA5,NDUFV1,NDUFV3,NDUFA10,NDUFA9,NDUFS7,NDUFS8,NDUFA8,NDUFB4,NDUFAB1,NDUFA4,NDUFB3,NDUFA6,NDUFB6,NDUFB7,NDUFB9,NDUFA2,NDUFA3,NDUFB8,NDUFB10,NDUFB2,NDUFS4,NDUFC1,NDUFA1,NDUFB1,NDUFS5,NDUFB5,NDUFC2,NDUFA7,NDUFB11,NDUFA11,NDUFA13
Caveolar macromolecular signaling complex;Adrb2,Prkar2b,Cav3,Gnas,Adcy8,Cacna1c,Ppp2r1a
Caveolar macromolecular signaling complex, using anti-Cav-3;Adrb2,Prkar2b,Cav3,Gnas,Adcy8,Cacna1c,Gnai1,Ppp2r1a
Ubiquitin E3 ligase (UBADC1, RNF123);RNF123,UBAC1
Ubiquitin E3 ligase (SKP1A, FBXW2, CUL1);SKP1,CUL1,FBXW2
Ubiquitin E3 ligase (DDB1, CUL4A, RBX1);RBX1,CUL4A,DDB1
Succinyl-CoA synthetase, GDP-forming;Suclg1,Suclg2
Succinyl-CoA synthetase, ADP-forming;Suclg1,Suclg2
Egasyn-glucuronidase complex;Gusb,Ces1e
Respiratory chain complex I (subcomplex I alpha), mitochondrial;NDUFA12,MT-ND6,NDUFV2,NDUFS1,NDUFS2,NDUFS3,NDUFS6,NDUFA5,NDUFV1,NDUFV3,NDUFA10,NDUFA9,NDUFS7,NDUFS8,NDUFA8,NDUFB4,NDUFAB1,NDUFA6,NDUFB7,NDUFA2,NDUFA3,NDUFA1,NDUFA7,NDUFA11,NDUFA13
Respiratory chain complex I (subcomplex I lambda), mitochondrial;NDUFA12,NDUFV2,NDUFS1,NDUFS2,NDUFS3,NDUFS6,NDUFA5,NDUFV1,NDUFV3,NDUFS7,NDUFS8,NDUFB7,NDUFA2,NDUFA7,NDUFA13
Respiratory chain complex I (subcomplex I beta), mitochondrial;MT-ND4,MT-ND5,NDUFB4,NDUFAB1,NDUFB3,NDUFB6,NDUFB7,NDUFB9,NDUFB8,NDUFB10,NDUFB2,NDUFB1,NDUFB5,NDUFB11
Cytochrome bc1-complex (EC 1.10.2.2), mitochondrial;CYC1,UQCRH,UQCRB,UQCR10,MT-CYB,UQCR11,UQCRQ,UQCRFS1,UQCRC2,UQCRC1
Isocitrate dehydrogenase [NADP], cytoplasmic;IDH1
Glucosidase 2;Prkcsh,Ganab
N-acetylglucosamine-1-phosphotransferase;GNPTAB,GNPTG
Guanylyl cyclase, soluble (GUCY1A2, GUCY1B3);GUCY1A2,GUCY1B3
Guanylyl cyclase, soluble (GUCY1A3, GUCY1B3);GUCY1A3,GUCY1B3
Glutamate-cysteine ligase;GCLC,GCLM
(ER)-localized multiprotein complex, Ig heavy chains associated;Pdia4,Hsp90b1,P4hb,Hspa5,Ppib,Uggt1,Dnajb11,Sdf2l1,Hyou1,Cabp1
(ER)-localized multiprotein complex, in absence of Ig heavy chains;Pdia4,Hsp90b1,P4hb,Hspa5,Ppib,Uggt1,Sdf2l1,Hyou1,Cabp1
EXO1-MLH1-PMS2 complex;MLH1,PMS2,EXO1
Nitric oxide synthase-dystrophin complex, skeletal muscle;Dmd,Nos1
COX-2-Cav-3 complex;Ptgs2,Cav3
H/ACA ribonucleoprotein complex;Dkc1,Gar1,Nop10,Nhp2
Farnesyltransferase;FNTA,FNTB
Dlg1-Cav3-Kcna5 complex;Kcna5,Cav3,Dlg1
Beta-dystroglycan-caveolin-3 complex;CAV3,DAG1
EXO1-MLH1-PCNA complex;PCNA,MLH1,EXO1
MSH4-MSH5-GPS2 complex;MSH4,MSH5,GPS2
Meprin A;MEP1A,MEP1B
Tripeptidyl peptidase;Tpp2
Molybdopterin synthase;MOCS2,MOCS2
Phosphatidylinositol 3-kinase complex (PIK3C3, PIK3R4);PIK3C3,PIK3R4
18S U11/U12 snRNP;DHX15,SF3B1,SNRPB,SNRPE,SNRPF,SNRPG,SNRPD1,SNRPD2,SNRPD3,YBX1,SF3B2,SF3B3,SF3B4,ZRSR2,SNRNP35,SNRNP48,PRPF8,PDCD7,ZCRB1,RNPC3,SNRNP25,SF3B5,ZMAT5,SF3B6
N-NOS-CHIP-HSP70-1 complex;HSPA1A,NOS1,STUB1
BASC complex (BRCA1-associated genome surveillance complex);NBN,RFC4,RFC2,RFC1,BRCA1,MLH1,MSH2,MRE11A,MSH6,BLM,ATM,RAD50
BASC (Ab 80) complex (BRCA1-associated genome surveillance complex);RFC4,RFC2,RFC1,BRCA1,MLH1,MSH2,MSH6,BLM
BASC (Ab 81) complex (BRCA1-associated genome surveillance complex);RFC4,RFC2,RFC1,BRCA1,MLH1,ATM
BASC (Ab C-20) complex (BRCA1-associated genome surveillance complex);BRCA1,MSH6,RAD50
AQP2-binding multiprotein force generator complex;Aif1l,Rlc-a,Sptan1,Myl12b,Aqp2,Anxa6,Actb,Actg1,Anxa2,Myh9,Tpm3,Gsn,Sipa1,Scin,Actn4
GCN5-TRRAP histone acetyltransferase complex;SUPT3H,TADA3,TAF5L,BRCA1,MSH2,MSH6,TAF10,TAF9,KAT2A,TRRAP
Phosphatidylinositol 3-kinase (PIK3CA, PIK3R1);PIK3R1,PIK3CA
Succinate dehydrogenase complex II, mitochondrial;SDHA,SDHC,SDHB,SDHD
TFTC-type histone acetyl transferase complex;MED14,MED24,ESR1,MED1,KAT2A,MED12,MED17,MED13,MED23,MED16,TRRAP
BP-SMAD complex;BACH1,SMAD9,GJB6,PSMC3,ERCC3,MXI1,KLF10,TGFBI
Signal peptidase complex;SEC11C,SPCS3,SEC11A,SPCS1,SPCS2
TFTC complex (TATA-binding protein-free TAF-II-containing complex);TAF4,ATXN7,SUPT3H,TADA3,TAF5L,TAF6,TAF10,SF3B3,TAF5,TAF7,TAF12,TAF9,TAF2,KAT2A,TAF9B,TRRAP,TAF6L
Kir4.1-dystrophin complex, retinal Mueller cells;Dmd,Kcnj10
Kir4.1-alpha-1-syntrophin complex;Snta1,Kcnj10
Kir4.1-beta-dystroglycan complex;Dag1,Kcnj10
Kir4.1-Aqp4 complex, retinal Mueller cells;Aqp4,Kcnj10
Kir4.1-dystrobrevin complex, retinal Mueller cells;Kcnj10,Dtnb
Aqp4-alpha-syntrophin complex, retinal Mueller cells;Aqp4,Snta1
Aqp4-beta-dystroglycan complex, retinal Mueller cells;Aqp4,Dag1
MKP3-CK2alpha complex;Csnk2a1,Dusp6
Dystrophin-associated glycoprotein complex DGC (Dag1, Dp71f, Sgcd, Snta1), retinal glia cells;Sgcd,Snta1,Dag1,Dmd
Dystrophin-associated glycoprotein complex DGC (Dag1, Dp71f, Utrn), retinal glia cells;Utrn,Dag1,Dmd
CRB1-MPP5-INADL complex;CRB1,MPP5,PATJ
MPP4-MPP5-CRB1 complex;CRB1,MPP5,MPP4
InsP3R1-HAP1A-Htt complex;Hap1,Itpr1,Htt
Gamma-secretase complex (APH1B, PSEN2, PSENEN, NCSTN);PSEN2,APH1B,NCSTN,PSENEN
Gamma-secretase complex (APH1A, PSEN2, PSENEN, NCSTN);PSEN2,NCSTN,APH1A,PSENEN
TFIID-beta complex;TAF4,TBP,TAF1,TAF6,TAF10,TAF5,TAF13,TAF11,TAF7,TAF12,TAF9,TAF9B
PCAF complex;TADA2A,SUPT3H,TADA3,TAF5L,TAF10,TAF12,TAF9,KAT2B,TRRAP,TAF6L
Prolyl 4-hydroxylase (alpha(I)-type);P4HB,P4HA1
Prolyl 4-hydroxylase (alpha(II)-type);P4HB,P4ha2
Prolyl 4-hydroxylase (alpha(III)-type);P4HB,P4HA3
STAGA complex;ATXN7,SUPT3H,TADA3,TAF5L,SUPT7L,TAF10,SF3B3,TAF12,TAF9,KAT2A,TADA1,TRRAP,TAF6L
STAGA core complex;SUPT3H,TAF9,KAT2A
Mupp1-Dlg4-Syngap1-CamkII complex;Mpdz,Camk2b,Camk2a,Dlg4,Syngap1
TIF-IB complex;Tbp,Taf1a,Taf1b,Taf1c
cRET-Shc-Grb2-Gab2-P85PI3K-Shp2 complex;Pik3r1,Ptpn11,Ret,Shc1,Grb2,Gab2
TFIID complex, B-cell specific;TAF4,TBP,TAF1,TAF6,TAF10,TAF5,TAF13,TAF11,TAF7,TAF12,TAF9,TAF4B
WIP-WASp-actin-myosin-IIa complex;WIPF1,MYL12A,MYH9,WAS,MYL6,ACTA2
Cytochrome bc1-complex, mitochondrial;Uqcr11,Uqcrb,Uqcr10,Cyc1,Mt-Cyb,Uqcrfs1,Uqcrc2,Uqcrh,Uqcrc1,Uqcrq
Vezf1-p68RacGap complex;Vezf1,Arhgap22
TFIIA complex;GTF2A1,GTF2A2
DA complex;TAF4,TBP,TAF1,TAF6,GTF2A1,GTF2A2,TAF10,TAF5,TAF13,TAF11,TAF7,TAF12,TAF9,TAF3,TAF2
DAB complex;TAF4,TBP,TAF1,TAF6,GTF2A1,GTF2A2,GTF2B,TAF10,TAF5,TAF13,TAF11,TAF7,TAF12,TAF9,TAF3,TAF2
TAF4-TAF12 subcomplex of TFIID complex;TAF4,TAF12
Ryk-Wny1-Fzd8 complex;Wnt1,Ryk,Fzd8
Ryk-Wny1 complex;Wnt1,Ryk
Ryk-Wnt3a complex;Wnt3a,Ryk
Ryk-Dvl1 complex;Dvl1,Ryk
Kir4.1-dystrophin complex;Dmd,Kcnj10
TFIID subcomplex, testis-specific;Taf1,Taf7l
AQP-1 regulatory complex;Gnai3,Pla2g2a,Aqp1,Clcn2,Kcnj8
Inner medullary AKAP-signaling complex;Prkcz,Prkar2a,Ppp3ca,Akap2
AKAP5-PRKAR2A-PPP3CA complex;PRKAR2A,AKAP5,PPP3CA
AKAP250-PKA-PDE4D complex;PRKACA,AKAP12,PDE4D
AMY-1-S-AKAP84-RII-beta complex;PRKAR2B,AKAP1,MYCBP
KCNQ1 macromolecular complex;PRKAR2A,PRKACA,KCNQ1,PPP1CA,AKAP9
Polycystin-1-E-cadherin-beta-catenin complex;CDH1,CTNNB1,PKD1
Polycystin-1-E-cadherin-beta-catenin-Flotillin-2 complex;CDH1,CTNNB1,PKD1,FLOT2
Yotiao-RII-NR1 complex;Prkar2a,Prkar2b,Grin1,Akap9
TIP60 histone acetylase complex;ACTL6A,KAT5,RUVBL2,RUVBL1,TRRAP
TRPC3-TRPC4 channel complex, redox-sensitive;TRPC3,TRPC4
NuA4/Tip60-HAT complex;YEATS4,ACTL6A,MORF4L2,VPS72,KAT5,EP400,BRD8,EPC1,MEAF6,DMAP1,MRGBP,ING3,MORF4L1,RUVBL2,RUVBL1,TRRAP
Cytochrome c oxidase, mitochondrial;MT-CO1,MT-CO2,MT-CO3,COX6C,COX4I1,COX5A,SURF1,COX15,CMC1,COX14,TIMM21,COA1,COX16,COA3
XPA-ERCC1-ERCC4 complex;ERCC1,XPA,ERCC4
M1 mAChR-TRPC6-multiprotein complex;Prkca,Chrm1,Calm1, Cal,Ppp3ca,Fkbp1a,Trpc6
IMP3-IMP4-MPP10 complex;MPHOSPH10,IMP4,IMP3
M1 mAChR-TRPC6-PKC complex;Prkca,Chrm1,trp6B
TRPC1-TRPC3-TRPC7 complex;TRPC1,TRPC3,TRPC7
HMG1-TBP-TATA complex;HMGB1,TBP
IGF1-IGFBP3-ALS complex;IGF1,IGFBP3,IGFALS
TRPC3-TRPC6-Ca2+-signaling complex;ITPR3,TRPC3,PLCB2,ITPR1,PLCB1,TRPC6,PLCB3,STX3,GNA11
DRIP complex;MED7,MED14,MED24,MED6,MED26,VDR,RXRB,MED1,MED12,MED4,MED17,MED13,MED23,MED16
NOS3-CAV1-NOSTRIN complex;NOS3,CAV1,NOSTRIN
core-histone (H2A/H2B/H3/H4)-TDIF2-TDT complex;DNTT,HIST1H4A,,HIST1H3A,,HIST2H2AC,HIST2H2BE,DNTTIP2
IFNAR1-IFNAR2-IFNB1 complex;IFNB1,IFNAR1,IFNAR2
RHOA-IP3R-TRPC1 complex;TRPC1,RHOA,ITPR1
TRP1-G alpha-11-IP3R3-CAV1 signaling complex;GNA11,TRPC1,CAV1,ITPR3
Channel complex TRPM6-TRPM7;TRPM7,TRPM6
Decapping complex;DDX6,EDC4,DCP2,EDC3,DCP1A
Kir6.2-Sur1 complex;Abcc8,Kcnj11
LSm1-7 complex;LSM1,LSM3,LSM6,LSM7,LSM2,LSM5,LSM4
LSm2-8 complex;LSM8,LSM3,LSM6,LSM7,LSM2,LSM5,LSM4
F1F0-ATP synthase, mitochondrial;ATP5B,MT-ATP6,ATPIF1,ATP5J,MT-ATP8,ATP5D,ATP5C1,ATP5E,ATP5F1,ATP5H,ATP5O,ATP5A1,ATP5G1,ATP5I
Clathrin-CAP-1A-Na(v)1.8 channel complex;Cltc,Scn10a,Sclt1
Nuclear pore complex;Nup43,Nup133,Nup160,Nupl2,Aaas,Nup205,Nup214,Tpr,Nup37,Ranbp2,Nup50,Nup88,Nup210,Nup62,Nup155,Nup153,Nup98,Nup107,Pom121,Nup58,Nup54,Rae1,Nup85,Nup188,Sec13,Nup93,Nup35,SEH1L
Psd95-Nos1-Grin2b complex;Nos1,Dlg4,Grin2b
p300-CBP-p270-SWI/SNF complex;ARID1A,SMARCA4,EP300,SMARCB1,SMARCC2,CREBBP,SMARCC1
p300-CBP-p270 complex;ARID1A,EP300,CREBBP
PYR complex;Smarce1,Smarcd1,Smarcc2,Smarcb1
F1-ATP synthase -  IF1 (inhibitor protein)  complex, mitochondrial;ATP5B,ATPIF1,ATP5D,ATP5C1,ATP5E,ATP5A1
ABIN2-NFKB1-MAP3K8 complex;NFKB1,MAP3K8,TNIP2
FHL2-p53-HIPK2 complex;TP53,FHL2,HIPK2
Epo-R-PLC-gamma-TRPC2 complex;Epor,Plcg1,Trpc2
Epo-R-IP(3)R type II-TRPC2 complex;Epor,Trpc2,Itpr2
Epo-R-PLC-gamma 1-IP(3)R type II-TRPC2 signaling complex;Epor,Plcg1,Trpc2,Itpr2
Ikaros complex;Ikzf3,Hdac1,Hdac2,Ikzf2,Smarcc1,Ikzf1,Smarca4,Rbbp4,Smarcd1,Smarcd3,Chd4,Smarcd2
Ikaros-NuRD complex;Ikzf3,Hdac1,Hdac2,Ikzf2,Ikzf1,Chd4
Ppp3cb-RyR2-mAkap complex;RATRYR2,Ppp3cb,Akap6
Mi2/NuRD-BCL6-MTA3 complex;MBD3,BCL6,HDAC1,CHD4,MTA3
Ccnb1-Itpr1-Cdk1 signaling complex;Itpr1,Ccnb1,Cdk1
NuRD.1 complex;MBD3,RBBP4,MTA1,CHD4,RBBP7,HDAC1,HDAC2,MTA3
Respiratory chain supercomplex (complex I, III, IV), mitochondrial, heart;NDUFA12,CYC1,UQCRH,UQCRB,UQCR10,MT-CYB,MT-CO1,MT-CO3,COX4I1,COX5A,COX5B,COX6B1,COX7C,MT-ND1,MT-ND2,MT-ND3,MT-ND4L,MT-ND4,MT-ND5,MT-ND6,COX6C,NDUFV2,UQCR11,COX8B,COX6A1,COX7B,COX7A2,UQCRQ,UQCRFS1,NDUFS1,NDUFS2,UQCRC2,NDUFS3,NDUFS6,NDUFA5,NDUFV1,NDUFV3,UQCRC1,NDUFA10,NDUFA9,NDUFS7,NDUFS8,NDUFA8,NDUFB4,NDUFAB1,MT-CO2,NDUFA4,NDUFB3,NDUFA6,NDUFB6,NDUFB7,NDUFB9,NDUFA2,NDUFA3,NDUFB8,NDUFB10,NDUFB2,NDUFS4,NDUFC1,NDUFA1,NDUFB1,NDUFS5,NDUFB5,NDUFC2,NDUFA7,NDUFB11,NDUFA11,NDUFA13
Kv4.2-KChIP3-Dpp10 channel complex;Kcnd2,Dpp10,Kcnip3
SAP complex (Sin3-associated protein complex);SAP30,RBBP4,HDAC1,RBBP7,ARID4B,HDAC2,SIN3A,SAP130,SUDS3
Kv4.2-Dpp10 channel complex;Kcnd2,Dpp10
Kv4.2-Dpp6 channel complex;Dpp6,Kcnd2
Kv4.2-DPP10 channel complex;DPP10,KCND2
SIN3-HDAC-SAP30-ARID4 complex;SAP30,RBBP4,HDAC1,RBBP7,ARID4B,HDAC2,SIN3A
Cx43-Tom20-Hsp90ab complex;Gja1,Hsp90ab1,Tomm20
Kv4.3-Dpp10 channel complex;Kcnd3,Dpp10
Kv4.3-Dpp6 channel complex;Dpp6,Kcnd3
Kv4.1-Dpp6 channel complex;Kcnd1,Dpp6
Kv4.1-Dpp10 channel complex;Kcnd1,Dpp10
Kv4.2-DPPX-KChIP channel complex;Dpp6,Kcnd2,Kcnip1
TIM (TIM17A, TIM17B, TIM23, TIM44) complex, mitochondrial;TIMM23,TIMM44,TIMM17B,TIMM17A
Kv4.2-Kchip1 channel complex;Kcnd2,Kcnip1
Kv4.2-Kchip2 channel complex;Kcnd2,Kcnip2
Kv4.2-Kchip3 channel complex;Kcnd2,Kcnip3
Kv4.2-Kv4.3 channel complex;Kcnd3,Kcnd2
MSL complex;MSL1,MSL3,KAT8,MSL2
Exocyst complex;EXOC5,EXOC3,EXOC8,EXOC6,EXOC4,EXOC2,EXOC1,EXOC7
CTF18-CTF8-DCC1 complex;CHTF8,CHTF18,DSCC1
CTF18-CTF8-DCC1-RFC3 complex;CHTF8,RFC3,CHTF18,DSCC1
NRD complex (Nucleosome remodeling and deacetylation complex);KDM1A,RBBP4,CHD3,MTA1,HDAC1,CHD4,HDAC2
TIM (Tim17A, Tim23, Tim44, Hsp70) complex, mitochondrial;Timm17a,Timm23,Timm44,Hspa1a
CASK-LIN7C-APBA1 complex;CASK,APBA1,LIN7C
MRE11A-RAD50-NBN-TRF2 complex;NBN,MRE11A,TERF2,RAD50
CoREST-HDAC complex;KDM1A,ZNF217,HDAC1,HDAC2,PHF21A,HMG20B,RCOR1
Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2);VHL,CUL2,TCEB1,TCEB2
TIM (TIM9, TIM10) complex, mitochondrial;TIMM10,TIMM9
LSD1-CoREST complex;KDM1A,RCOR1
LSD1 complex;KDM1A,ZNF217,HSPA1A,HSPA1B,CTBP1,HDAC1,RREB1,PHF21A,PHF21B,HMG20A,HMG20B,RCOR3,ZMYM2,RCOR1
MRN-TRRAP complex (MRE11A-RAD50-NBN-TRRAP complex);NBN,MRE11A,RAD50,TRRAP
SNARE complex (Vti1b, Stx7, Stx8, Vamp8);Stx7,Vti1b,Vamp8,Stx8
BLM-TRF2 complex;BLM,TERF2
RyR2 macromolecular complex;RATRYR2,Prkar2a,Prkaca,Ppp1ca,Ppp2ca,Fkbp1b
Tacc1-chTOG-AuroraA  complex;AURKA,TACC1,CKAP5
Anti-HDAC2 complex;KDM1A,MTA2,GTF2I,RBBP4,CHD3,MTA1,HDAC1,ZMYM3,GSE1,CHD4,RBBP7,HDAC2,PHF21A,SIN3A,HMG20B,ZMYM2,RCOR1
anti-BHC110 complex;KDM1A,ZNF217,GTF2I,HDAC1,ZMYM3,GSE1,HDAC2,PHF21A,HMG20B,ZMYM2,RCOR1
XFIM complex;KDM1A,GTF2I,HDAC1,ZMYM3,HDAC2
AGPS-GNPAT complex;AGPS,GNPAT
BHC complex;KDM1A,HDAC1,HDAC2,PHF21A,HMG20B,RCOR1
cGMP kinase signaling complex (IP3RI, IRAG, cGKI-beta);PRKG1,MRVI1,ITPR1
RANBPM-Muskelin-TWA1-HSMpp8 complex;RANBP9,MPHOSPH8,GID8,MKLN1
SNARE complex (Snap47, Stx1a, Vamp2);Stx1a,Vamp2,Snap47
RANBPM-SMP1 complex;TMEM50A,RANBP9
CtBP complex;CBX4,ZEB2,KDM1A,ZNF217,ZEB1,CTBP2,CTBP1,HDAC1,ZNF516,RREB1,HDAC2,LCOR,EHMT2,EHMT1,RCOR3,RCOR1,CDYL
CtBP core complex;KDM1A,ZEB1,CTBP2,CTBP1,HDAC1,HDAC2,EHMT2,EHMT1,RCOR1
ASPP1-SAM68 complex;KHDRBS1,PPP1R13B
HDAC1-associated protein complex;KDM1A,MTA2,MBD3,RBBP4,CHD3,HDAC1,RBBP7,MBD2,RCOR1
HPFH(-198) complex;Gtf2h4,Dnmt1,HBG2,Gtf2f1
HDAC1-associated core complex cI;KDM1A,HDAC1,RCOR1
HDAC1-associated core complex cII;MTA2,MBD3,RBBP4,CHD3,HDAC1,RBBP7,GATAD2A,MBD2,RCOR1
HDAC2-asscociated core complex;MTA2,MBD3,RBBP4,CHD3,RBBP7,GATAD2A,HDAC2
SNARE complex (Stx1a, Snap25, Vamp2);Stx1a,Snap25,Vamp2
AP3-BLOC1 complex;AP3B1,AP3D1,SNAPIN,AP3M2,AP3S2,BLOC1S1,AP3B2,BLOC1S3,BLOC1S2,BLOC1S5,AP3S1,DTNBP1,BLOC1S4,BLOC1S6,AP3M1
SNARE complex (Ykt6, Stx5, Gosr2, Bet1);Gosr2,Stx5,Ykt6,Bet1
BLOC1-BLOC2 complex;SNAPIN,BLOC1S1,BLOC1S3,BLOC1S2,HPS6,BLOC1S5,HPS3,DTNBP1,BLOC1S4,BLOC1S6,HPS5
HSF1-HSF2 complex;HSF1,HSF2
VPS35-VPS29-VPS26A complex;VPS26A,VPS35,VPS29
Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A);SNX2,VPS26A,SNX1,VPS35,VPS29
SNARE complex (Stx5, Gosr2, Sec22b, Bet1);Gosr2,Stx5,Sec22b,Bet1
Karyopherin complex;Pth1r,Kpnb1,Kpna1
Hoxa9-PBX2-Meis1 complex;Hoxa9,PBX2,Meis1
SNARE complex (Stx5, Ykt6, Gosr1, Bet1);Bet1l,Stx5,Ykt6,Gosr1
BKCA alpha-Cav1.2 channel complex;Cacna1c,Kcnma1
BKCA alpha-Cav2.1 channel complex;Cacna1a,Kcnma1
BKCA alpha-Cav2.2 channel complex;Cacna1b,Kcnma1
BKCA-beta2AR-AKAP79 signaling complex;ADRB2,AKAP5,KCNMA1
beta2AR-AKAP79/150  complex;Adrb2,Akap5
BKCa-AKAP79/150 complex;Akap5,Kcnma1
BKCa-beta2AR complex;Adrb2,Kcnma1
BKCA-beta2AR complex;ADRB2,KCNMA1
SNARE complex (Stx5, p97, Nsfl1c);Nsfl1c,Vcp,Stx5
Gamma-secretase complex (Aph1a, Ncstn, Psen1, Psenen, Tmp21);Psen1,Ncstn,Aph1a,Psenen,Tmed10
TMP21-P24 complex;Nrsn1,Tmed10
Metallothionein-3 complex;Dpysl2,Hsp90ab1,Mt3,Actb,Ckb,Hspa1a
Mt3-Hsp84-Ck complex;Hsp90ab1,Mt3,Ckb
GINS complex;GINS1,GINS4,GINS3,GINS2
Tis7-Sin3-Hdac1-Ncor1-Sap30 complex;Hdac1,Sap30,Ifrd1,Ncor1,Sin3b
RANBMP-CD39 complex;RANBP1,ENTPD1
C-CFTR-NHERF-ezrin complex;SLC9A3R1,CFTR,EZR
PAX9-MSX1 complex;MSX1,PAX9
Apg16L-Apg12-Apg5 complex;Atg16l1,Atg5,Atg12
CFTR-NHERF-beta(2)AR signaling complex;SLC9A3R1,ADRB2,CFTR
Cd2ap-Fyn complex;Fyn,Cd2ap
Cd2ap-Synpo complex;Synpo,Cd2ap
SIN3-SAP25 complex;SAP18,SAP30,RBBP4,HDAC1,RBBP7,Sap25,ARID4B,HDAC2,SIN3A,SAP130,SUDS3
LysRS-Hint-Mitf complex;Mitf,Hint1,Kars
TOM complex (Tom20, Tom22, Tom70), mitochondrial;Tomm20,Tomm70,Tomm22
Bad-Gk-Wave1-Pkaca-Ppp1cc complex;Prkaca,Gck,,Bad,Wasf1
BRMS1-SIN3-HDAC complex;SIN3B,SAP30,RBBP4,HDAC1,RBBP7,HDAC2,SIN3A,BRMS1
BRMS1-RBP1 complex;ARID4B,BRMS1
Snap25-caveolin complex;Cav1,Snap25
HuR-Tia1-Tiar-Hrnpu complex;Elavl1,Tial1,Tia1,Hnrnpu
